site,crew,date,start_time_mst,visit_type,sensor_pulled,sensor_deployed,sensor_swapped_notes,sensors_cleaned,wiper_working,rdo_cap_condition,rdo_cap_replaced,ph_junction_replaced,cals_performed,cal_report_collected,photos_downloaded,sensor_malfunction,visit_comments,start_DT,DT_round,DT_join,field_season,last_site_visit,sonde_employed,end_dt
archery,Nick Gubbins,2021-08-17,09:09,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,NA,No,No,None,No,No,NA,Sonde pulled and cleaned,2021-08-17T16:09:00Z,2021-08-17T16:00:00Z,2021-08-17 09:00:00,2021,2021-08-17T16:00:00Z,0,NA
archery,Katie Willi,2021-09-25,09:43,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,Sonde pulled and cleaned,2021-09-25T16:43:00Z,2021-09-25T16:30:00Z,2021-09-25 09:30:00,2021,2021-09-25T16:30:00Z,0,NA
archery,Katie Willi,2021-10-04,09:00,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,chla,Deployed extra sonde (intended for Spring Creek?) with chl-a sensor from original sonde,2021-10-04T16:00:00Z,2021-10-04T16:00:00Z,2021-10-04 09:00:00,2021,2021-10-04T16:00:00Z,0,NA
archery,Katie Willi,2021-10-05,07:48,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,Checked conductivity sensor,2021-10-05T14:48:00Z,2021-10-05T14:45:00Z,2021-10-05 07:45:00,2021,2021-10-05T14:45:00Z,0,NA
archery,Katie Willi,2021-10-21,12:00,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,Yes,NA,Replaced batteries in camera,2021-10-21T19:00:00Z,2021-10-21T19:00:00Z,2021-10-21 12:00:00,2021,2021-10-21T19:00:00Z,0,NA
archery,Katie Willi,2021-12-04,13:30,Sensor Cleaning or Check,x,NA,NA,No,Yes,"Good (mostly black, white speckles)",No,No,None,No,Yes,NA,Pulled sensor and game camera for winter,2021-12-04T20:30:00Z,2021-12-04T20:30:00Z,2021-12-04 13:30:00,2021,2021-12-04T20:30:00Z,1,NA
archery,Katie Willi,2022-04-06,09:06,Sensor Cleaning or Check,NA,x,NA,No,Yes,"Good (mostly black, white speckles)",No,No,"pH, ORP, DO, Conductivity",Yes,NA,NA,Deployed sonde.,2022-04-06T16:06:00Z,2022-04-06T16:00:00Z,2022-04-06 09:00:00,2022,2022-04-06T16:00:00Z,0,NA
archery,Katie Willi,2022-04-07,11:45,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"DO, Conductivity",No,NA,NA,Recalibrated conductivity and DO; installed game camera,2022-04-07T18:45:00Z,2022-04-07T18:45:00Z,2022-04-07 11:45:00,2022,2022-04-07T18:45:00Z,0,NA
archery,Eric Williams,2022-05-01,15:57,Sensor Cleaning or Check,NA,NA,NA,No,Yes,"Good (mostly black, white speckles)",No,No,SC,No,Yes,NA,"Stopped lat/long logging, upgraded AquaTROLL 500 sensors.",2022-05-01T22:57:00Z,2022-05-01T22:45:00Z,2022-05-01 15:45:00,2022,2022-05-01T22:45:00Z,0,NA
archery,Eric Williams and Marin MacDonald,2022-05-10,15:06,Sensor Cleaning or Check,NA,NA,NA,Yes,No,"Good (mostly black, white speckles)",No,No,None,No,No,"temp, chlorophyll a","Wiper not working, potential an issue with chl-a sensor and temperature inside conductivity sensor.",2022-05-10T22:06:00Z,2022-05-10T22:00:00Z,2022-05-10 15:00:00,2022,2022-05-10T22:00:00Z,0,NA
archery,Eric Williams,2022-05-21,15:26,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"pH, Level, ORP, Cond, Turbidity,  DO",No,No,"temp, chlorophyll a",Swapped sonde to back-up. PVC is starting to bend. Messed up Level calibration,2022-05-21T22:26:00Z,2022-05-21T22:15:00Z,2022-05-21 15:15:00,2022,2022-05-21T22:15:00Z,0,NA
archery,Eric Williams,2022-05-24,14:45,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,Level,Yes,No,level,Re-calibrated level.,2022-05-24T21:45:00Z,2022-05-24T21:45:00Z,2022-05-24 14:45:00,2022,2022-05-24T21:45:00Z,0,NA
archery,Eric Williams and Katie Willi,2022-07-14,08:15,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"pH, ORP, DO, Conductivity, Level",Yes,Yes,NA,Unclogged sediment resting on top of sensor by sawing and then putting back together PVC.,2022-07-14T15:15:00Z,2022-07-14T15:15:00Z,2022-07-14 08:15:00,2022,2022-07-14T15:15:00Z,0,NA
archery,Katie Willi,2022-08-02,13:30,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,Yes,"pH, ORP, DO, Conductivity",Yes,No,NA,Installed new pH sensor. Moved sensors so turbidity and conductivity were adjacent. Sensor now lies ~0.5 feet further above the channel bed due to sediment inundation.,2022-08-02T20:30:00Z,2022-08-02T20:30:00Z,2022-08-02 13:30:00,2022,2022-08-02T20:30:00Z,0,NA
