season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
snowmelt,archery,Battery Level,80,90,-0.0666666666666667,NA,2.2327470356265944
winter_baseflow,archery,Battery Level,90,95,-0.0666666666666667,NA,1.1113572998345218
fall_baseflow,archery,Chl-a Fluorescence,0.0137596033513546,6.42549114227295,-0.15442018087705,0.156085199912389,0.9885328536877372
monsoon,archery,Chl-a Fluorescence,0.0178555203974247,8.50112319946288,-0.145339037443201,0.134088872075081,1.187005207961011
snowmelt,archery,Chl-a Fluorescence,0.021389586776495,2.94038785934448,-0.0632679040829341,0.0647612059116362,0.6612133151321953
winter_baseflow,archery,Chl-a Fluorescence,0.0163243543356657,13.1244450569153,-0.210052628517151,0.156206248760224,2.695288957750583
fall_baseflow,archery,Depth,0.614194528421402,1.2590914720459,-4.92732908630372e-4,7.8933796310425e-4,0.16146764473919822
monsoon,archery,Depth,0.40042964861083,1.27225782536316,-8.32253076171871e-4,0.00167008192634582,0.17125277843040965
snowmelt,archery,Depth,0.644520920791626,2.10542052818298,-0.00376671485137938,0.00518311463623046,0.37766483669709466
winter_baseflow,archery,Depth,0.612992462985993,1.09558784238625,-5.45491752243028e-4,5.72144824981688e-4,0.09993283756389079
fall_baseflow,archery,DO,2.42434549331665,11.9410329818726,-0.0375329208374023,0.0742908048629756,1.7916123853103314
monsoon,archery,DO,4.33390945911407,11.5729898452759,-0.035293391863505,0.0431229667663574,1.2505210171270473
snowmelt,archery,DO,1.16788692951202,10.0387927913666,-0.0803193062543869,0.08334285736084,1.1462046826242303
winter_baseflow,archery,DO,5.53895063877106,18.1073274040222,-0.146741689046224,0.217521212895711,1.7427053458370145
fall_baseflow,archery,External Voltage,15.5430002212524,15.8039999008179,-0.00300000508626302,0.00300000508626302,0.09214383834039547
monsoon,archery,External Voltage,15.6420001983643,15.8129997253418,-0.00300000508626302,0.00300000508626302,0.034022363493473685
snowmelt,archery,External Voltage,15.5699996948242,15.8129997253418,-0.00300000508626302,0.00300000508626302,0.06409543612234135
winter_baseflow,archery,External Voltage,15.5520000457764,15.7229995727539,-0.00300000508626302,0.00300000508626302,0.04914577996754836
fall_baseflow,archery,ORP,0.306429803466797,0.483783850097656,-4.41780985514324e-4,3.19412679036458e-4,0.03803448696374016
monsoon,archery,ORP,0.243261712646484,0.460936389160156,-0.00123446805826823,7.78112548828126e-4,0.04407310781530069
snowmelt,archery,ORP,-0.191840943603516,0.486509643554688,-0.0039568837483724,0.00235308329264323,0.12495238665614689
winter_baseflow,archery,ORP,0.161443908691406,0.462461184387207,-0.00110948791503906,6.27814473470052e-4,0.08540913013006547
fall_baseflow,archery,pH,7.68452281951904,8.55144901275635,-0.00398507308959961,0.00548793411254881,0.20228707951770988
monsoon,archery,pH,7.4118841457367,8.78192706108093,-0.00511082363128662,0.00631812191009521,0.27743644695035796
snowmelt,archery,pH,7.19141304016113,7.99212736129761,-0.00598560428619385,0.00713137181599935,0.1389748578785656
winter_baseflow,archery,pH,7.6609173488617,8.44739269256592,-0.00614198536343041,0.00745633284250895,0.17349463009157745
fall_baseflow,archery,Specific Conductivity,200.943299713135,1874.47053466797,-1.57079406738281,1.00619401041667,439.90132098738263
monsoon,archery,Specific Conductivity,204.755377960205,1596.93275756836,-2.85000105794271,1.33670745849609,360.87566388751935
snowmelt,archery,Specific Conductivity,70.8247232055664,1568.54827636719,-3.60743033854167,1.70357198079427,253.7855937715274
winter_baseflow,archery,Specific Conductivity,218.987030029297,1811.26599121094,-2.13621915690104,2.09869913736977,400.66372874856916
fall_baseflow,archery,Temperature,2.09802330732346,17.5722555160522,-0.00869152832031246,0.0191498724619548,3.353933084828033
monsoon,archery,Temperature,13.8890757894516,24.4781359863281,-0.0121607144673665,0.0224329643249512,2.2852543142190522
